Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,symptom,Description,Doctor
Dori allergiyasi,Tirnashni kamaytirish,eng yaqin shifoxonaga murojaat qilish,dori qabul qilishni to'xtatish,," stomach_pain,  skin_rash,  burning_micturition, itching,  spotting_ urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Immunolog
Bezgak,Yaqin shifoxonaga murojaat qilish,yog'li ovqatlardan saqlanish,sabzavotli bo'lmagan ovqatlardan saqlanish,chivinlarni uzoqroq tutish," headache,  high_fever,  sweating,  chills,  muscle_pain,  vomiting,  diarrhoea,  nausea",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Yuqumli kasalliklar bo'yicha mutaxassis
Allergiya,kalaminni qo'llash,ta'sirlangan joyni bandaj bilan yopish,,qichishishni kamaytirish uchun muzdan foydalanish," watering_from_eyes,  chills,  shivering,  continuous_sneezing","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Immunolog
Gipotiroidizm,stressni kamaytirish,mashq qilish,sog'lom ovqatlanish,to'g'ri uxlash," cold_hands_and_feets,  dizziness,  weight_gain,  abnormal_menstruation,  lethargy,  swollen_extremeties,  mood_swings,  enlarged_thyroid,  fatigue,  brittle_nails,  puffy_face_and_eyes,  irritability,  depression","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Endokrinolog
Psoriaz,qo'llarni iliq suv bilan yuvish,bosim yordamida qon ketishini to'xtatish,shifokor bilan maslahatlashish,tuzli vannalar," joint_pain,  silver_like_dusting,  skin_rash,  inflammatory_nails,  small_dents_in_nails,  skin_peeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Dermatolog
GERD,yog'li ovqatlardan saqlanish,ovqatdan keyin yotishdan saqlanish,sog'lom vaznni saqlash,mashq qilish," stomach_pain,  chest_pain,  cough,  ulcers_on_tongue,  acidity,  vomiting","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",Gastroenterolog
Surunkali xolestaz,sovuq vannalar,qichishishga qarshi dori qabul qilish,shifokor bilan maslahatlashish,sog'lom ovqatlanish," yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  loss_of_appetite, itching,  vomiting,  nausea","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Gastroenterolog
Gepatit A,Yaqin shifoxonaga murojaat qilish,qo'llarni yuvish,yog'li ovqatlardan saqlanish,dori," dark_urine,  joint_pain,  yellowing_of_eyes,  muscle_pain,  yellowish_skin,  abdominal_pain,  mild_fever,  loss_of_appetite,  vomiting,  diarrhoea,  nausea",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Yuqumli kasalliklar bo'yicha mutaxassis
Osteoartrit,asetaminofen,eng yaqin shifoxonaga murojaat qilish,kuzatish,tuzli vannalar," knee_pain,  painful_walking,  neck_pain,  joint_pain,  hip_joint_pain,  swelling_joints","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Revmatolog
Paroymsal pozitsion vertigo,bir oz yonboshlashish,tanadagi keskin o'zgarishlardan saqlanish,boshning keskin harakatlanishidan saqlanish,dam olish," headache,  loss_of_balance,  unsteadiness,  vomiting,  nausea,  spinning_movements",Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Otaralingolog
Gipoglikemiya,yon tomonga yotish,pulsni tekshirish,shakarli ichimliklar ichish,shifokor bilan maslahatlashish," headache,  irritability,  palpitations,  blurred_and_distorted_vision,  sweating,  excessive_hunger,  anxiety,  slurred_speech,  fatigue,  vomiting,  nausea,  drying_and_tingling_lips"," Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.",Endokrinolog
Akne,ikki marta hammom qabul qilish,yog'li ovqatlardan saqlanish,ko'p suv ichish,juda ko'p mahsulotlardan saqlaning," scurring,  skin_rash,  blackheads,  pus_filled_pimples","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Dermatolog
Impetigo,ta'sirlangan joyni iliq suvda namlash,antibiotiklardan foydalanish,nam siqilgan mato bilan qoraqo'tirlarni olib tashlash,shifokor bilan maslahatlashish," high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze,  skin_rash","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",Dermatolog
Peptik yara kasalligi,yog'li ovqatlardan saqlanish,probiyotik ovqatni iste'mol qilish,,spirtli ichimliklarni cheklash," passage_of_gases,  internal_itching,  abdominal_pain,  loss_of_appetite,  indigestion,  vomiting","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",Gastroenterolog
Umumiy sovuq,c vitaminiga boy ichimliklar ichish,bug' oling,sovuq ovqatdan saqlanish,isitmani nazorat qilish," headache,  runny_nose,  high_fever,  continuous_sneezing,  cough,  swelled_lymph_nodes,  redness_of_eyes,  chills,  muscle_pain,  loss_of_smell,  phlegm,  malaise,  fatigue,  sinus_pressure,  congestion,  chest_pain,  throat_irritation","The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",Primary Care Physician
Suvchechak,cho'milishda neemdan foydalanish,neem barglarini iste'mol qilish,emlash,jamoat joylaridan qochish," headache,  high_fever,  swelled_lymph_nodes,  lethargy,  red_spots_over_body,  skin_rash,  mild_fever, itching,  fatigue,  loss_of_appetite,  malaise","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",Primary Care Physician
Servikal spondiloz,isitish yostig'i yoki sovuq paketdan foydalanish,mashq qilish,og'riq qoldiruvchi vositalarni qabul qilish,shifokor bilan maslahatlashish," dizziness,  neck_pain,  loss_of_balance,  back_pain,  weakness_in_limbs","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",Revmatolog
Gipertiroidizm,sog'lom ovqatlanish,massaj,limon balzamidan foydalanish,radioaktiv yod bilan davolashni qabul qilish," restlessness,  abnormal_menstruation,  sweating,  excessive_hunger,  mood_swings,  fast_heart_rate,  fatigue,  muscle_weakness,  weight_loss,  irritability,  diarrhoea","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",Endokrinolog
Siydik chiqarish yo'llari infektsiyasi,ko'p suv ichish,c vitamini iste'molini oshirish,klyukva sharbatini ichish,probiyotiklarni qabul qilish," bladder_discomfort,  burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",Urolog
Varikoz tomirlari,"tekis yotib, oyog'ingizni baland ko'tarish",malhamlardan foydalanish,tomirlarni siqishdan foydalanish,uzoq vaqt bir joyda turmaslik," obesity,  swollen_blood_vessels,  fatigue,  bruising,  prominent_veins_on_calf,  swollen_legs,  cramps","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",Jarroh
OITS,ochiq kesishlardan saqlanish,,shifokor bilan maslahatlashish,," extra_marital_contacts,  muscle_wasting,  high_fever,  patches_in_throat","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",Yuqumli kasalliklar bo'yicha mutaxassis
Falaj (miya qon ketishi),massaj,sog'lom ovqatlaning,mashq qilish,shifokor bilan maslahatlashish," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium","Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",Nevrolog
Qorin bo'shlig'i,yuqori kaloriyali sabzavotlarni iste'mol qiling,antiboitik terapiya,shifokor bilan maslahatlashish,dori qabul qilish," headache,  toxic_look_(typhos),  high_fever,  belly_pain,  chills,  abdominal_pain,  fatigue,  constipation,  vomiting,  diarrhoea,  nausea","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit B,eng yaqin shifoxonaga murojaat qilish,emlash,sog'lom ovqatlanish,dori qabul qilish," dark_urine,  yellowing_of_eyes,  lethargy,  receiving_unsterile_injections,  yellowish_skin,  abdominal_pain,  malaise, itching,  fatigue,  loss_of_appetite,  yellow_urine,  receiving_blood_transfusion","Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",Yuqumli kasalliklar bo'yicha mutaxassis
Qo'ziqorin infektsiyasi,ikki marta hammom qabul qilish,cho'milish suvida detol yoki neemdan foydalanish,infektsiyalangan joyni quruq holda saqlash,toza matolardan foydalanish," dischromic _patches,  nodal_skin_eruptions,  skin_rash, itching","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit C,Eng yaqin shifoxonaga murojaat qilish,emlash,sog'lom ovqatlanish,dori qabul qilish," yellowing_of_eyes,  yellowish_skin,  family_history,  loss_of_appetite,  fatigue,  nausea","Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Yuqumli kasalliklar bo'yicha mutaxassis
Migren,meditatsiya,stressni kamaytirish,quyoshda poloroid ko'zoynaklardan foydalanish,shifokor bilan maslahatlashish," headache,  stiff_neck,  blurred_and_distorted_vision,  excessive_hunger,  indigestion,  visual_disturbances,  acidity,  irritability,  depression","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",Nevrolog
Bronxial astma,erkin kiyimga o'tish,chuqur nafas olish,tetikdan uzoqlashish,yordam so'rash," high_fever,  cough,  mucoid_sputum,  family_history,  breathlessness,  fatigue","Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",Pulmonolog
Alkogolli gepatit,spirtli ichimliklarni iste'mol qilishni to'xtatish,shifokor bilan maslahatlashish,dori,kuzatish," distention_of_abdomen,  swelling_of_stomach,  yellowish_skin,  history_of_alcohol_consumption,  abdominal_pain,  vomiting,  fluid_overload","Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",Gastroenterolog
Sariqlik,ko'p suv ichish,sut qushqo'nmasini iste'mol qilish,meva va yuqori tolali ovqatlar iste'mol qilish,dori qabul qilish," high_fever,  dark_urine,  yellowish_skin,  abdominal_pain, itching,  fatigue,  weight_loss,  vomiting","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",Gastroenterolog
Gepatit E,spirtli ichimliklarni iste'mol qilishni to'xtatish,dam olish,shifokor bilan maslahatlashish,dori qabul qilish," stomach_bleeding,  acute_liver_failure,  high_fever,  joint_pain,  dark_urine,  yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  coma,  fatigue,  loss_of_appetite,  vomiting,  nausea",A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,Yuqumli kasalliklar bo'yicha mutaxassis
Denga,papayya barglari sharbatini ichish,yog'li ovqatlardan saqlanish,chivinlarni uzoqroq tutish,namlangan holda saqlash," headache,  high_fever,  joint_pain,  red_spots_over_body,  chills,  muscle_pain,  back_pain,  skin_rash,  pain_behind_the_eyes,  fatigue,  loss_of_appetite,  malaise,  vomiting,  nausea","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",Yuqumli kasalliklar bo'yicha mutaxassis
Gepatit D,shifokor bilan maslahatlashish,dori,sog'lom ovqatlanish,," dark_urine,  joint_pain,  yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  fatigue,  loss_of_appetite,  vomiting,  nausea","Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",Yuqumli kasalliklar bo'yicha mutaxassis
Yurak xuruji,tez yordam chaqirish,aspirinni chaynash yoki yutish,tinchlik saqlash,," breathlessness,  vomiting,  sweating,  chest_pain","The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",Kardiolog
Zotiljam,shifokor bilan maslahatlashish,dori,dam olish,," high_fever,  cough,  sweating,  chills,  breathlessness,  phlegm,  fast_heart_rate,  malaise,  fatigue,  rusty_sputum,  chest_pain","Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",Pulmonolog
Artrit,mashq qilish,issiq va sovuq terapiyadan foydalanish,akupunkturni sinab ko'rish,massaj," painful_walking,  movement_stiffness,  stiff_neck,  muscle_weakness,  swelling_joints","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",Revmatolog
Gastroenterit,bir muddat qattiq ovqat eyishni to'xtatish,kichik qultum suv olishga harakat qilish,dam olish,ovqatlanishga qaytishni osonlashtirish," dehydration,  vomiting,  sunken_eyes,  diarrhoea","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",Yuqumli kasalliklar bo'yicha mutaxassis
Sil kasalligi,og'izni yopish,shifokor bilan maslahatlashish,dori,dam olish," chest_pain,  high_fever,  yellowing_of_eyes,  cough,  sweating,  swelled_lymph_nodes,  chills,  blood_in_sputum,  breathlessness,  phlegm,  mild_fever,  fatigue,  loss_of_appetite,  weight_loss,  malaise,  vomiting","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",Pulmonolog
